Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Japan,1776.74,1730.39,1764.75,1601.02,1736.46,1677.06,1628.87,1598.82,1524.31,1519.59,1519.28,1485.28,1457.45,1399.66,1441.0,1433.82,1410.55,1421.58,1409.59,1371.06,1391.34,1351.05,1316.16,1301.34,1275.48,1242.59,1229.45,1209.49,1194.2,,,,,
Jordan,,,,,8475.36,,,,,,2745.13,,,,,,3066.0,,,,,,,,,,,,,,,,,
Kazakhstan,4116.29,4012.73,3828.66,3466.41,2974.76,2589.79,2447.73,2462.57,2540.6,2467.62,2843.92,1469.3,1475.63,1643.64,1712.7,1696.37,1812.33,1878.69,1995.64,1944.76,2104.58,2141.78,2149.31,2202.78,2175.69,2114.33,2150.43,2208.47,2313.31,1477.07,998.44,1004.47,1550.92,1305.43
Kenya,,,,,15537.09,16724.19,,,,,15669.57,,,,,18042.57,,,,,22185.66,,,,,,,,,,,,,
Kiribati,,,,,9.42,,,,,,,,,,,,2.49,2.62,2.14,,,,,,,,,,,,,,,
Kuwait,,,,,2712.99,,,,,,,,,,,,,,,,,,,,,,2002.08,,,,,,,
Kyrgyzstan,5357.07,5335.68,4874.77,4242.95,3328.83,3112.98,2885.58,2878.9,2764.3,2798.33,2954.88,3101.27,3444.84,3719.42,4218.04,4478.7,4396.26,4423.89,4819.69,5021.84,4711.27,,,,,,,,,,,,,
Lao People's Democratic Republic,6414.45,,,,,,,,,,5344.29,,,,,,,,,,,,,,,,,,,,,,,
Latvia,143.8,141.98,122.36,93.59,86.78,86.4,84.99,83.72,80.26,74.94,74.9,78.33,77.32,73.92,72.71,74.68,72.8,74.76,73.32,74.14,71.65,69.71,71.37,72.25,74.15,70.2,71.23,72.53,69.34,148.85,103.5,103.57,156.29,153.75
Lebanon,,,,,1129.11,,,,,,1825.11,,,,,,,,,,,2873.64,2962.05,2030.14,,,,,,,,,,
Lesotho,,,,,970.41,,,,,,1257.06,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,4140.78,,,,,,,,,,,,,,,,,,,,,,,
