Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Panama,,,,,1.85,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0.3,,,,0.22,,,,,,0.16,,,,,0.26,,,,,,0.26,0.27,,,,,,,,,,,
Peru,,,,,123.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,,,,,458.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2652.31,2564.39,2318.19,2304.07,2206.79,2141.02,2154.76,1974.72,1770.44,1599.28,1410.65,1385.83,1298.32,1281.14,1210.01,1171.17,1236.17,1173.8,947.03,811.09,874.44,836.36,802.93,767.99,723.58,711.43,590.66,582.65,582.64,355.17,144.92,128.82,372.93,222.69
Portugal,317.64,308.02,366.45,309.46,288.0,321.82,262.72,274.89,322.08,330.98,294.82,277.64,276.81,184.91,188.37,189.72,164.95,157.54,104.24,71.91,62.95,56.96,52.23,47.97,43.41,45.63,45.56,47.14,45.17,24.72,13.59,12.73,25.96,22.69
Qatar,,,,,,,,,,,,,,,,,,143.92,,,,,,,,,,,,,,,,
Republic of Moldova,294.78,256.04,170.02,145.54,102.54,60.94,58.88,33.86,26.9,13.9,9.8,9.32,10.43,12.22,11.13,10.76,10.95,9.03,13.29,17.64,19.97,19.67,18.67,21.86,,,,,,,,,,
Romania,798.15,722.97,759.69,694.65,688.68,697.04,707.2,613.05,491.21,438.12,493.87,536.15,510.0,540.04,511.31,602.58,641.42,522.91,529.29,453.43,362.12,340.28,278.03,217.85,191.27,154.43,100.73,85.18,80.03,71.95,27.36,26.4,75.55,62.67
Russian Federation,812.01,735.78,650.6,559.25,458.2,484.19,435.8,443.96,416.66,471.02,516.31,527.45,546.02,566.02,585.82,601.67,619.74,634.39,625.5,590.19,616.77,650.93,682.51,670.44,684.08,684.75,707.43,720.85,739.89,,,,,
Rwanda,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,0.61,,,,,,0.16,,,,,0.17,,,,,0.19,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0.25,,,,0.29,,,0.32,,,0.29,,,,0.46,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,41.96,,,,,39.63,,,,,,,,,,,,,,,,,,
Serbia,491.0,478.12,465.25,452.38,439.5,426.62,413.75,400.88,388.0,388.01,388.0,387.99,388.0,387.99,388.0,387.99,388.0,388.01,388.0,388.0,388.0,387.99,388.0,387.99,388.0,388.01,388.0,388.01,388.0,326.29,159.58,144.04,342.6,232.12
Sierra Leone,,,,,,,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.05,,,,,,,,,,,,,,,,,,
Slovakia,149.16,144.08,141.21,135.74,132.85,129.68,126.37,125.51,125.84,123.16,116.66,122.82,99.11,101.82,93.02,85.98,84.55,68.96,67.58,62.73,67.72,67.05,57.01,51.74,44.47,66.78,26.26,27.87,20.23,8.13,3.91,4.56,8.54,7.63
Slovenia,200.5,185.9,193.0,189.95,183.49,123.43,114.96,118.46,109.21,95.35,92.89,62.47,62.12,59.22,49.63,39.36,16.35,14.24,11.88,9.74,9.65,10.65,10.06,9.0,7.12,4.86,3.95,4.13,4.08,6.43,3.45,3.41,6.75,6.33
Solomon Islands,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,7.96,7.45,6.72,7.23,,,,,,,,
Spain,2116.56,2132.59,2109.31,2009.38,1961.42,1818.95,1594.48,1655.28,1528.36,1543.89,1421.84,1359.01,1501.81,1251.07,1277.56,1229.32,1096.88,1069.96,405.67,306.87,261.02,296.24,299.27,233.46,252.48,269.81,228.25,235.46,212.25,156.76,85.63,94.5,188.39,179.33
Sri Lanka,,,,42.0,45.2,43.0,,,,,105.87,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Sweden,103.3,101.7,94.96,84.38,83.06,71.81,70.09,61.1,57.84,47.81,45.34,43.02,43.07,42.72,38.21,37.04,36.76,32.09,29.75,27.31,28.98,26.32,25.74,23.56,20.83,17.78,18.52,17.73,17.38,4.44,2.36,2.31,4.66,4.31
Switzerland,36.63,36.33,33.9,28.98,26.23,26.04,24.59,21.31,22.05,19.16,16.33,17.14,14.92,15.14,14.88,13.9,13.17,11.47,11.59,10.26,10.38,8.35,8.63,7.99,7.29,5.66,5.22,5.03,4.99,4.59,2.4,2.35,4.82,4.62
Tajikistan,34.0,31.0,28.1,25.0,15.0,12.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,573.03,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,
Togo,,,,,,0.13,,,,,8.35,,,,,8.26,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,0.11,,,,,,0.16,,,,,,,,,,,,,,,,,
Trinidad and Tobago,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,77.86,,,,,,111.29,,,,,,,,,,,,,,,,,,,,,,,
Turkey,1687.31,1778.13,1814.51,1699.13,1757.29,1843.87,1976.16,2148.36,2183.58,2096.16,2237.5,1978.48,1867.65,1786.86,1777.11,2000.74,2157.6,2520.41,2555.63,2659.55,2554.54,2634.4,2699.91,1936.69,2146.03,1947.19,2250.98,2360.54,2524.42,1995.76,1028.35,971.53,2095.55,1638.53
Turkmenistan,,,,,1.45,,,,,,1.76,,,,2.43,,,,,,2.72,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
Uganda,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,1652.18,1362.99,1268.23,1228.68,1041.79,846.69,927.14,862.2,847.57,812.4,734.4,788.41,827.07,803.65,789.43,820.03,949.99,976.1,909.13,830.38,867.13,949.07,994.63,1016.02,879.96,750.57,800.81,724.28,787.83,655.87,326.69,301.55,688.66,531.8
United Kingdom of Great Britain and Northern Ireland,3780.88,3609.35,3553.5,3215.33,2760.15,2467.91,2111.67,1740.71,1714.53,1330.27,1298.89,1208.22,1087.3,1059.49,901.47,779.6,736.83,640.66,536.03,437.18,454.07,419.51,464.21,400.18,325.37,254.63,182.09,177.96,162.86,,,,,
United Republic of Tanzania,162.13,,,,175.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,20935.45,20298.46,20032.79,19752.47,19365.09,16891.16,16680.03,17089.76,17186.37,15917.26,14828.95,14452.3,13636.82,13433.48,13218.91,13195.59,11904.47,10613.36,9365.31,8245.48,7014.41,5877.38,4607.59,4420.73,4240.14,3342.3,2685.06,2548.0,2480.97,,,,,
Uruguay,43.8,,,,34.9,,,,55.99,,49.4,,38.34,,52.5,,41.67,,51.04,,46.4,,59.5,,41.8,,26.0,24.5,,,,,,
Uzbekistan,654.19,585.59,463.5,377.14,344.34,341.32,339.73,330.28,294.28,278.43,292.42,249.59,249.94,227.62,216.8,176.05,190.23,160.68,175.67,174.17,163.09,180.19,201.26,,,,,,,,,,,
Vanuatu,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,1911.1,,,,,,9.86,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,7.69,,,,,12.0,,,,,,,,,,515.0,,4.12,,,,,,,,,,,
Zambia,,,,,6.42,,,,,,6.16,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,1.04,,,,,,1.63,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
