Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nauru,,,,,28.32,,,,,,13.29,,,35.08,,,,17.24,,,37.58,,,,,,,,,,,,,
Nepal,,,,,1630.0,,,,,,2894.24,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,162385.11,170796.38,170630.24,170817.55,171401.37,172966.17,182148.29,175019.63,176136.87,170727.35,171887.44,176798.51,176113.05,179565.0,181381.77,177459.01,172686.52,172587.18,175481.51,170167.74,182117.94,169065.73,165827.03,165717.88,158768.01,166366.66,166282.09,164444.77,160170.15,161598.8,96228.77,95549.79,169678.74,155811.48
New Zealand,25446.29,26110.38,28105.07,27699.46,27880.33,28001.81,29295.08,31289.34,29882.78,31472.27,32281.35,34457.44,34638.1,36351.9,35940.11,37571.04,37466.33,36559.88,37592.32,34762.43,34957.78,34249.57,36000.43,35240.94,35457.8,35839.19,34267.62,36153.33,35080.34,,,,,
Nicaragua,,,,,2728.38,,,,,,3840.19,,,,,,,,,,,,,,,,,,,,,,,
Niger,598.47,,,,,,,,,,1905.0,,,,,,,,1800.0,,,,,,,,,,,,,,,
Nigeria,,,,,114815.82,,,,,,116825.0,,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,4.4,,,,,,4.82,,,,,5.54,6.7,8.1,4.84,5.05,,,,,,,,,,,,,,
North Macedonia,10287.59,9576.21,8935.91,9359.09,9041.89,9207.93,8891.52,9632.4,10338.45,9964.61,9571.65,9667.51,10027.43,9368.53,9114.57,9908.92,8977.05,9495.79,9565.18,8929.47,8929.46,8929.47,8929.46,8929.47,8929.46,8929.47,8929.46,8929.47,8929.46,9126.1,5498.82,5549.84,9582.41,9156.39
Norway,35321.33,33816.46,34734.75,36224.2,38088.99,38707.5,41830.31,41969.98,42220.23,42974.02,42518.55,43866.41,42985.66,44305.68,44622.58,43923.16,44484.78,46231.29,45377.7,43890.03,46231.65,45513.36,45038.31,44982.4,44916.61,45350.5,44472.73,43562.54,43817.66,43502.04,26108.93,26336.03,45677.14,43525.14
Oman,,,,,11184.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,85.59,,,,,0.01,149.99,,,,,331.84,,,,,,,,,,,,,,,,,,
Panama,,,,,4314.91,,,,,,5171.99,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,1140.57,,,,,,4400.45,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,2270.22,,,,3810.57,,,,,,3646.85,,,,,4148.82,,,,,,5380.22,5664.54,,,,,,,,,,,
Peru,,,,,30656.73,,,,,,32065.0,,,,,,,,,,44943.83,,48210.0,,,,,,,,,,,
Philippines,,,,,57932.0,,,,,,82702.84,,,,,,,,,,,,,,,,,,,,,,,
Poland,376546.52,373793.32,364677.87,365370.7,360416.81,362761.27,377407.84,367385.32,339132.89,329167.33,317338.03,313647.66,306403.33,319406.05,324146.21,323161.27,337037.51,336368.5,330145.0,316607.7,334606.78,333952.03,326348.21,322225.44,309920.92,313099.15,324011.34,337340.42,337705.74,276782.5,165598.06,162976.7,290621.62,249240.02
Portugal,45082.97,46960.26,50889.17,49391.9,50246.45,54450.77,51703.22,54597.59,59138.43,66763.19,65526.59,65149.3,69556.08,64419.31,67255.33,69483.98,64767.65,62280.42,59973.06,57200.26,52989.38,51792.65,49962.62,48161.88,47948.44,52294.06,50455.57,54719.98,51482.48,46543.36,27561.16,28251.53,48870.53,46815.28
Qatar,,,,,,,,,,,,,,,,,,57611.96,,,,,,,,,,,,,,,,
Republic of Korea,252328.67,275230.29,299001.71,334403.67,356378.12,385188.31,417749.86,443604.94,377357.37,409614.21,441633.44,456996.88,475805.24,484163.27,490197.51,494464.19,501107.18,522787.61,536424.71,541396.88,594697.22,624256.53,627219.62,636397.56,629715.21,634487.23,637599.56,,,,,,,
Republic of Moldova,35333.69,31049.99,21804.86,16569.55,14997.96,11552.74,11655.59,10688.54,9063.02,7154.44,6388.39,6991.99,6667.91,7439.19,7912.17,8310.32,7651.92,8028.34,8727.81,9030.4,9552.3,9687.15,9354.19,8325.47,,,,,,,,,,
Romania,169285.87,139370.25,131072.28,122832.31,121961.46,127032.86,130095.93,121074.67,107561.54,90778.18,95455.76,100357.07,101735.33,105295.17,104269.76,102694.47,105082.79,108440.49,105534.58,86024.14,84289.72,89518.25,86255.69,76875.89,77432.42,77725.63,75812.8,78077.49,76951.22,64315.82,38356.57,37711.23,67531.61,59525.86
Russian Federation,2525293.78,2395977.96,1957658.89,1859459.63,1641399.16,1612928.32,1580160.84,1475157.17,1458157.13,1486090.03,1471052.23,1507500.88,1495483.58,1525389.95,1530473.62,1547375.78,1606313.36,1604323.81,1636694.37,1528764.92,1612884.81,1664953.15,1679866.2,1619172.89,1622348.91,1622861.01,1618304.26,1646179.81,1691360.43,,,,,
Rwanda,,,,,,,,,,,,,312.47,,,532.0,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,268.24,,,,,,340.19,,,,,395.28,,,,,489.43,,,,,,,,,,,,,
Saint Vincent and the Grenadines,81.51,,,,95.07,,,106.83,,,155.15,,,,217.41,,,,,,,,,,,,,,,,,,,
Samoa,,,,,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
